Inoculum,Incubation,Gas,Time,Day,Chl a,Chl b,Chl c,UQ-8,PQ-9,TOC,Chl a rel,Chl b rel,Chl c rel,PQ-9 rel,UQ-8 rel
Hels,Light,Clean,t0,0,7.81153305203938,0.88034188034188,0.520833333333333,0.226537216828479,0.293924466338259,6.345,0.8206274,0.1127,0.0667,0.56,0.44
Hels,Light,Clean,t1,7,665.03164556962,202.564102564103,11.2390350877193,4.73300970873786,36.1247947454844,NAN,0.6785068,0.3046,0.0169,0.88,0.12
Hels,Light,Clean,t3,14,9018.2841068917,3068.01994301994,22.5694444444444,32.1601941747573,486.042692939245,1397.6,0.6572974,0.3402,0.0025,0.94,0.06
Hornbaek-deep,Light,Clean,t0,0,4.28586497890295,0.581196581196581,0.350877192982456,0.117313915857605,0.139573070607553,4.46375,0.7825238,0.1356,0.0819,0.54,0.46
Hornbaek-deep,Light,Clean,t1,5,870.946353224834,23.015873015873,24.4360902255639,2.19602404068423,35.5383532723434,75.24,0.9455168,0.0264,0.0281,0.94,0.06
Hornbaek-deep,Light,Clean,t2,7,1525.53470100393,222.516946654878,7.18390804597701,5.85872112487446,59.1699224279486,167.74,0.8494293,0.1459,0.0047,0.91,0.09
Hornbaek-deep,Light,Clean,t3,11,10880.0105485232,4969.28418803419,0,20.2265372168285,436.165845648604,934.595,0.5432648,0.4567,0,0.96,0.04
Hornbaek-deep,Light,Used,t0,0,4.28586497890295,0.581196581196581,0.350877192982456,0.117313915857605,0.139573070607553,4.46375,0.7825238,0.1356,0.0819,0.54,0.46
Hornbaek-deep,Light,Used,t1,5,313.140446051838,14.5909645909646,10.9649122807018,2.6583448913546,14.0745953553835,58.66,0.9183885,0.0466,0.035,0.84,0.16
Hornbaek-deep,Light,Used,t2,7,1899.43741209564,160.826210826211,13.8888888888889,7.28155339805825,77.9967159277504,210.46,0.9080174,0.0847,0.0073,0.91,0.09
Hornbaek-deep,Light,Used,t3,11,2216.2447257384,812.232905982906,6.16776315789474,39.4417475728155,130.849753694581,732.87,0.6307264,0.3665,0.0028,0.77,0.23
Hornbaek-deep,Dark,Clean,t0,0,4.28586497890295,0.581196581196581,0.350877192982456,0.117313915857605,0.139573070607553,4.46375,0,0,0,0.54,0.46
Hornbaek-deep,Dark,Clean,t1,5,1.67088607594937,0.262735042735043,0,20.9061488673139,0,20.88,0,0,0,0,1
Hornbaek-deep,Dark,Clean,t2,7,6.69831223628692,1.12179487179487,0,431.027508090615,0,89.74,0,0,0,0,1
Hornbaek-deep,Dark,Clean,t3,11,16.7985232067511,8.19925213675214,0,208.333333333333,0,149.77,0,0,0,0,1
Hornbaek-shallow,Dark,Clean,t0,0,4.85834162992462,0.487627644931016,0.262617862540246,0.058785741124565,0.271206558304582,5.515,0,0,0,0.82,0.18
Hornbaek-shallow,Dark,Clean,t1,5,2.09915611814346,0.14957264957265,0,46.7637540453074,0,16.36,0,0,0,0,1
Hornbaek-shallow,Dark,Clean,t2,7,2.60196905766526,0,0,465.749730312837,0,129.32,0,0,0,0,1
Hornbaek-shallow,Dark,Clean,t3,11,7.06751054852321,3.23183760683761,0,255.157766990291,0,147.395,0,0,0,0,1
